NAME ,NAME (S),DISCLAIMER ,DATA SOURCE/S ,DATA SOURCE/S URL ,COORDINATES - LAT / X,COORDINATES - LONG/ Y,STREET ADDRESS ,CITY (COLONIAL) - EXCLUDE FROM MAP ,PROVINCE/ TERRITORY  (COLONIAL)  - EXCLUDE FROM MAP,ON THE TRADITIONAL LANDS OF (DATA FROM NATIVE-LAND.CA - CONTACT LOCAL NATIONS TO VERIFY) ,IMAGE 1- MAIN ,IMAGE 2 - SECONDARY,DESCRIPTION (LONG) ,PLAQUE/ MARKER TEXT / INSCRIPTION ,ARTIST/ CREATOR,AGENCIES SPONSORING/ MANAGING THE SITE,YEAR DEDICATED ,YEAR CONSTRUCTED ,OBJECT TYPE ,USE TYPES ,USE TYPES 2,SUBJECTS ,SUBJECTS 2,SUBJECTS 3,SUBJECTS 4,HONOREES ,HONOREES 2,HONOREES 3,HONOREES 4,HONOREES 5,HONOREES 6,HONOREES 7,HONOREES 8,HONOREES 9,HONOREES 10,HONOREES 11,HONOREES 12,HONOREES 13,HONOREES 14,HONOREES 15,HONOREES 16,HONOREES 17,HONOREES 18,HONOREES 19,HONOREES 20,HONOREES 21,HONOREES 22,HONOREES 23,HONOREES 24,HONOREES 25,HONOREES 26,HONOREES 27,HONOREES 28,HONOREES 29,HONOREES 30,HONOREES 31,HONOREES 32,HONOREES 33,TAGS,TAGS 2,COMMUNITIES IMPACTED (CROWD-SOURCED),ISSUES REPRESENTED (CROWD-SOURCED),MATERIAL 1,MATERIAL 2,MATERIAL 3,AREA (SQ.KM),HEIGHT (M),WIDTH (M),DEPTH (M),STAGING 1,STAGING 2,STAGING 3,STAGING COMMENTS,GESTURE 1,GESTURE 2,INCLUDES REPLICA? ,YEAR REMOVED (IF APPLICABLE),ADDITIONAL INFORMATION ,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.99474,-79.4454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost road rock,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.14818,-78.8734,,,,,,,,ghost road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glengarry Landing,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.45095,-79.9012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memorial Arch,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.39064,-79.6855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.74495,-79.8818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hog Bay Trestle Bridge,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.73087,-79.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint-Louis Mission National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.72907,-79.7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.historicplaces.ca/en/rep-reg/place-lieu.aspx?id=14403
Ribbons of Steel Plaque,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.60776,-79.4077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.97285,-78.1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.97319,-78.1604,,,,,,,,"In recognition and memory of the efforts of approximately| 40,000 Canadian Armed Forces personnel who served and| the 162 Canadians who died in the cause of bringing| peace and freedom to the people of Afghanistan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ste. Anne's Angel,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.01785,-78.0447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.0376,-77.6968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champlain's War Party 1615,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.09949,-77.5767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ontarioplaques.com/Plaques/Plaque_Hastings01.html
Lions International Trenton,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.1049,-77.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.16385,-77.3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.35448,-78.7408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenelon Falls,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.53669,-78.7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wall Of Honour,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.30897,-78.3211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.3094,-78.3208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroglyph,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.62492,-78.0481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milford,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.93527,-77.0906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillcroft Plaque,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.22631,-76.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summerhill Plaque,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.22573,-76.4924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statue of Sir John A. MacDonald,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.22498,-76.4868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoal Tower National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.22883,-76.4781,,Frontenac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.23321,-76.5079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deck Gun,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.23206,-76.4684,,,,,,,,Gun formerly belong to a Destroyer in the Royal Canadian Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathcart Tower National Historic Site of Canada,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.22541,-76.454,,Frontenac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Fiunding of Tweed,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.47825,-77.3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Frontenac Road,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.74233,-76.8283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lansdowne Iron Works,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.54928,-76.1263,,,,,,,,"Plaque Text While the existence of local ore was well known and various petitions had been made for the right to erect a foundry, it was not until 1801 that Wallis Sunderlin, a Vermont founderer, established the first iron works in Upper Canada at Furnace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.62666,-75.9497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site of First Catholic Church North Crosby,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.71756,-76.4148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.bytown.net/westport.htm
Abel Stevens Plaque,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.72465,-76.0223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flag Garden,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.89856,-76.2477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rideau Waterway,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.89599,-76.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.90624,-76.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir Isaac Brock Statue,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.59036,-75.6852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justus Sherwood 1747-1798,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.70074,-75.5297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capture of Ogdensburg 1813,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.70358,-75.5206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle of the Windmill,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.72122,-75.4874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinal War Memorial Cenotaph,Milton Fountain,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.78903,-75.3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle of Crysler's Farm,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.94194,-75.0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seafaring Sons of Yarmouth County,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.81879,-66.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Horse Fountain,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,43.85121,-66.1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Slocum Monument,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.25546,-66.3421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War of 1812,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.65221,-66.8393,,,,,,,,"The United States invaded Canada because of the practice of impressment of American merchant sailors into the Royal Navy, trade restrictions, British support of native tribes blocking American westward expansion, and the possibility off annexing Canada. S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramp of Ferry to Deer Island,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.89344,-66.9583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishermen Memorial,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.62738,-66.7275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champlain, King's Orange Rangers, & Liverpool Privateers",,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.04376,-64.7078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To the Helpless victims of abortion,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.40025,-66.0466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.4014,-66.0474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel De Champlain,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.71102,-65.6094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harriette Taber Richardson,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.71203,-65.6094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre Dugua, Sieur de Mons",,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.7424,-65.5193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle of Bloody Creek,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.82233,-65.3103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenotaph,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.44912,-64.3819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Town Lunenburg World Heritage Site,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.37781,-64.3084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legacy Park Monument,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.56654,-64.3095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS Atlantic Monument,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.4658,-63.7106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.49395,-63.9143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sambro Island Lighthouse,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.47426,-63.6032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.58548,-63.5487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"May include inaccurate information and problematic language. Included to better define the landscape of heritage preservation laws and policies in ""Canada."" ",Open Street Map ,,44.59659,-63.5543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
